Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
20170010212,Sant Martí,el Parc i la Llacuna del Poblenou,Pujades                                           ,Saturday,December,9,6,Morning,2,0,2,2,2.1863330000000003,41.391396
20170010213,Sant Martí,el Parc i la Llacuna del Poblenou,Tànger                                            ,Saturday,December,9,10,Morning,1,0,1,2,2.1887630000000002,41.399365
20170010214,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Balmes / Sant Elies                               ,Saturday,December,9,13,Morning,1,0,1,2,2.145959,41.402104
20170010215,Eixample,la Dreta de l'Eixample,Aragó / Pau Claris                                ,Saturday,December,9,14,Afternoon,2,0,2,2,2.1663759999999996,41.393276
20170010216,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Gràcia                                            ,Saturday,December,9,14,Afternoon,1,0,1,1,2.152873,41.398359
20170010217,Gràcia,la Vila de Gràcia,Gran de Gràcia / Gràcia                           ,Saturday,December,9,15,Afternoon,2,0,2,2,2.155459,41.399843
20170010218,Eixample,la Sagrada Família,Diagonal / Sicília                                ,Saturday,December,9,15,Afternoon,1,0,1,2,2.1754279999999997,41.400076
20170010219,Sant Andreu,Sant Andreu,Ribes                                             ,Saturday,December,9,17,Afternoon,0,1,1,2,2.188931,41.445396
20170010220,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Augusta                                           ,Saturday,December,9,15,Afternoon,1,0,1,1,2.150867,41.400464
20170010221,Sant Martí,la Verneda i la Pau,Prim / Concili de Trento                          ,Saturday,December,9,19,Afternoon,4,0,4,2,2.206092,41.421307
20170010222,Gràcia,el Camp d'en Grassot i Gràcia Nova,Indústria / Sicília                               ,Saturday,December,9,22,Night,1,0,1,2,2.168662,41.405221999999995
20170010223,Sants-Montjuïc,el Poble-sec,Paral·lel                                         ,Saturday,December,9,23,Night,2,0,2,2,2.170318,41.374753000000005
20170010224,Ciutat Vella,el Raval,Litoral (Besòs)                                   ,Sunday,December,10,0,Night,1,0,1,2,2.1762919999999997,41.372365
20170010225,Les Corts,Pedralbes,Esplugues                                         ,Sunday,December,10,3,Night,2,0,2,2,2.104463,41.384837
20170010226,Horta-Guinardó,el Carmel,Santuari                                          ,Sunday,December,10,7,Morning,1,0,1,2,2.152673,41.421118
20170010227,Sant Martí,la Vila Olímpica del Poblenou,Voluntaris Olímpics / Litoral                     ,Sunday,December,10,7,Morning,0,0,0,1,2.1959470000000003,41.388026
20170010228,Ciutat Vella,el Raval,Rambla / Pintor Fortuny                           ,Sunday,December,10,11,Morning,1,0,1,1,2.171227,41.383721
20170010229,Sant Andreu,Sant Andreu,Meridiana                                         ,Sunday,December,10,14,Afternoon,1,0,1,2,2.182477,41.432669
20170010230,Eixample,la Sagrada Família,Marina / Aragó                                    ,Sunday,December,10,12,Morning,1,0,1,2,2.1778299999999997,41.401877
20170010231,Sant Martí,el Parc i la Llacuna del Poblenou,Pujades                                           ,Sunday,December,10,16,Afternoon,0,0,0,1,2.184946,41.390356
20170010232,Horta-Guinardó,el Baix Guinardó,Cartagena / Niça                                  ,Sunday,December,10,17,Afternoon,1,0,1,2,2.169839,41.414451
20170010233,Les Corts,Pedralbes,Diagonal                                          ,Sunday,December,10,19,Afternoon,1,0,1,2,2.1243220000000003,41.388126
20170010234,Nou Barris,Canyelles,Favència                                          ,Sunday,December,10,19,Afternoon,0,0,0,1,2.1663930000000002,41.441865
20170010235,Horta-Guinardó,Horta,Maragall / Dante Alighieri                        ,Sunday,December,10,19,Afternoon,1,0,1,2,2.162522,41.429124
20170010236,Ciutat Vella,el Raval,Josep Carner                                      ,Sunday,December,10,23,Night,1,0,1,2,2.1772400000000003,41.374806
20170010237,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat)                               ,Monday,December,11,5,Night,0,0,0,3,2.217908,41.405822
20170010238,Eixample,Sant Antoni,Vilamarí / Paral·lel                              ,Monday,December,11,8,Morning,1,0,1,2,2.1541669999999997,41.375
20170010239,Gràcia,la Vila de Gràcia,Gràcia                                            ,Monday,December,11,8,Morning,1,0,1,3,2.1583349999999997,41.397048999999996
20170010240,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Sant Gervasi / Folgueroles                        ,Monday,December,11,8,Morning,1,0,1,2,2.134675,41.408968
20170010241,Sants-Montjuïc,Sants,Nicaragua / Josep Tarradellas                     ,Monday,December,11,9,Morning,1,0,1,1,2.142413,41.382401
20170010242,Eixample,Sant Antoni,Viladomat / Sepúlveda                             ,Monday,December,11,9,Morning,1,0,1,2,2.157557,41.379477
20170010243,Eixample,el Fort Pienc,Marina / Corts Catalanes                          ,Monday,December,11,9,Morning,0,1,1,1,2.1811990000000003,41.399111
20170010244,Sarrià-Sant Gervasi,Sarrià,Bonanova                                          ,Monday,December,11,9,Morning,1,0,1,2,2.124724,41.40164
20170010245,Sant Martí,el Parc i la Llacuna del Poblenou,Glòries Catalanes                                 ,Monday,December,11,10,Morning,1,0,1,2,2.1880330000000003,41.402572
20170010246,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Muntaner / Rector Ubach                           ,Monday,December,11,12,Morning,1,0,1,2,2.143885,41.398353
20170010247,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Madrazo                                           ,Monday,December,11,12,Morning,1,0,1,2,2.14957,41.400551
20170010248,Eixample,l'Antiga Esquerra de l'Eixample,Muntaner / Mallorca                               ,Monday,December,11,12,Morning,1,0,1,2,2.1562069999999998,41.389041999999996
20170010249,Eixample,la Dreta de l'Eixample,Aragó / Roger de Llúria                           ,Monday,December,11,13,Morning,1,0,1,2,2.167508,41.39414
20170010250,Horta-Guinardó,Horta,B-20 (Besòs)                                      ,Monday,December,11,13,Morning,1,0,1,3,2.15785,41.439131
20170010251,Eixample,la Dreta de l'Eixample,Consell de Cent                                   ,Monday,December,11,13,Morning,3,0,3,2,2.168151,41.393076
20170010252,Les Corts,les Corts,Equador                                           ,Monday,December,11,12,Morning,1,0,1,2,2.1390279999999997,41.386744
20170010253,Gràcia,la Vila de Gràcia,Còrsega / Roger de Llúria                         ,Monday,December,11,14,Afternoon,1,0,1,2,2.161835,41.398416
20170010254,Sant Andreu,la Sagrera,Gran de la Sagrera                                ,Monday,December,11,14,Afternoon,1,0,1,2,2.1913240000000003,41.421490999999996
20170010255,Sarrià-Sant Gervasi,les Tres Torres,Rosari / Doctor Roux                              ,Monday,December,11,15,Afternoon,1,0,1,1,2.130786,41.397096999999995
